t,pwm,V,i,theta_m,omega_m,theta_l,omega_l,enc_m,enc_o,temp
0,0,0,0,0,0,0,0,0,0,25
0.0005,0.0028278764120352,0,0,0,0,0,0,0,0,25.0049995833565
0.001,0.00565662024145737,0,0,0,0,0,0,0,0,25.0099983335185
0.0015,0.00848620350337917,0,0,0,0,0,0,0,0,25.0149962506249
0.002,0.0113165981603622,0,0,0,0,0,0,0,0,25.0199933348146
0.0025,0.0141477761226538,0,0,0,0,0,0,0,0,25.0249895862263
0.003,0.0169797092484248,0,0,0,0,0,0,0,0,25.0299850049987
0.0035,0.0198123693440089,0,0,0,0,0,0,0,0,25.0349795912708
0.004,0.0226457281641435,0,0,0,0,0,0,0,0,25.0399733451812
0.0045,0.0254797574122109,0,0,0,0,0,0,0,0,25.0449662668687
0.005,0.0283144287404823,0,0,0,0,0,0,0,0,25.0499583564718
0.0055,0.0311497137503615,0,0,0,0,0,0,0,0,25.0549496141294
0.006,0.0339855839926313,0,0,0,0,0,0,0,0,25.05994003998
0.0065,0.0368220109676999,0,0,0,0,0,0,0,0,25.0649296341623
0.007,0.0396589661258498,0,0,0,0,0,0,0,0,25.0699183968148
0.0075,0.0424964208674871,0,0,0,0,0,0,0,0,25.0749063280762
0.008,0.0453343465433926,0,0,0,0,0,0,0,0,25.079893428085
0.0085,0.048172714454974,0,0,0,0,0,0,0,0,25.0848796969797
0.009,0.0510114958545191,0,0,0,0,0,0,0,0,25.0898651348988
0.0095,0.0538506619454514,0,0,0,0,0,0,0,0,25.0948497419809
0.01,0.0566901838825852,0,0,0,0,0,0,0,0,25.0998335183643
0.0105,0.059530032772384,0,0,0,0,0,0,0,0,25.1048164641876
0.011,0.0623701796732185,0,0,0,0,0,0,0,0,25.109798579589
0.0115,0.0652105955956268,0,0,0,0,0,0,0,0,25.1147798647071
0.012,0.0680512515025757,0,0,0,0,0,0,0,0,25.1197603196803
0.0125,0.0708921183097235,0,0,0,0,0,0,0,0,25.1247399446467
0.013,0.0737331668856836,0,0,0,0,0,0,0,0,25.1297187397448
0.0135,0.0765743680522896,0,0,0,0,0,0,0,0,25.1346967051129
0.014,0.0794156925848622,0,0,0,0,0,0,0,0,25.1396738408892
0.0140801299969787,0.079871052747847,0,0,0,0,0,0,0,0,25.1404713995194
0.0141071751278535,0.0800247444697891,0.000322753953770374,8.28093045807892e-06,7.47659807122762e-13,5.52897902831342e-08,1.50508225256432e-15,1.11301532208063e-10,0,0,25.140740583259
0.014120680043552,0.0801014901275238,0.00132378427204965,2.94967546691473e-05,2.41583046205214e-12,1.91756647055235e-07,4.69686228475346e-15,3.61382652344659e-10,0,0,25.1408749985502
0.0141341849592504,0.0801782358487475,0.00232481541844622,7.59229357018127e-05,7.23725108511952e-12,5.22267894929629e-07,1.44224251015889e-14,1.07891701838143e-09,0,0,25.1410094132363
0.0141441104358035,0.0802346403769713,0.00306052665614679,0.000125378295319287,1.42930225977206e-11,8.9948177620132e-07,3.02588073887183e-14,2.11214029808912e-09,0,0,25.1411082013099
0.0141640913837456,0.0803481882705972,0.00454158613822394,0.000261800454918864,4.29279110155595e-11,1.96673743430616e-06,1.12471682527966e-13,6.11698630567884e-09,0,0,25.1413070703018
0.0141840723316876,0.0804617362991379,0.00602264738005919,0.000444647468717225,9.68059740782829e-11,3.42620620570144e-06,3.05911836768024e-13,1.32454738539697e-08,0,0,25.1415059379692
0.0142040532796297,0.0805752844607228,0.00750371035725449,0.000670350808132687,1.8345926423032e-10,5.24738529789673e-06,6.78645940094846e-13,2.40634770934721e-08,0,0,25.1417048043121
0.0142240342275718,0.0806888327534815,0.00898477504541123,0.000935616250064621,3.09840955398583e-10,7.40283445491475e-06,1.30808444145808e-12,3.89403907098485e-08,0,0,25.1419036693305
0.0142440151755138,0.0808023811755432,0.0104658414201286,0.0012374027911447,4.82373753451922e-10,9.86689654620267e-06,2.27750245847722e-12,5.8093846087154e-08,0,0,25.1421025330244
0.0142639961234559,0.080915929725037,0.011946909457004,0.00157290318336342,7.06989151307449e-10,1.26160605694334e-05,3.67335568071672e-12,8.16245723069341e-08,0,0,25.1423013953938
0.0142903947670866,0.0810659492107186,0.013903685357199,0.00206330335690564,1.09324267153268e-09,1.6647073220924e-05,6.32711471170725e-12,1.19428108134557e-07,0,0,25.1425641284862
0.0143167934107174,0.0812159689112578,0.0158604640598844,0.00260263768687817,1.59138094635473e-09,2.10926138470799e-05,1.00778819498621e-11,1.64735524711072e-07,0,0,25.1428268592667
0.0143505006309087,0.0814075225082431,0.0183589892379538,0.00335440787498222,2.40704240004202e-09,2.73042251125495e-05,1.67815340864399e-11,2.33022112883157e-07,0,0,25.1431623248186
0.0143842078510999,0.0815990764395028,0.0208575187761231,0.00416899776101388,3.44108250471495e-09,3.40499950696396e-05,2.59725290705572e-11,3.12320690940964e-07,0,0,25.1434977866012
0.01442665068784,0.081840274252411,0.024003577205361,0.00527150275563857,5.08042002454085e-09,4.31992015317197e-05,4.16497881865271e-11,4.26426307144351e-07,0,0,25.1439201818296
0.0144690935245801,0.0820814725631205,0.0271496421276583,0.00644760226387658,7.1214847828796e-09,5.29802678491558e-05,6.24728892119417e-11,5.54804101791233e-07,0,0,25.1443425710822
0.0145230645762472,0.0823881852337451,0.0311502421792835,0.00803094223021712,1.03370434355025e-08,6.61783756568666e-05,9.73010467037411e-11,7.35819534991678e-07,0,0,25.144879679994
0.0145770356279143,0.0826948986434059,0.0351508518705119,0.00969546193553437,1.42842136991052e-08,8.0091527992552e-05,1.42357473554552e-10,9.33832082276013e-07,0,0,25.1454167792431
0.0146468711686668,0.0830917697828152,0.0403274319497632,0.0119435581999185,2.05357761792051e-08,9.89451748879078e-05,2.17234073035034e-10,1.2105373512151e-06,0,0,25.1461117414753
0.0147167067094192,0.0834886420178247,0.045504026319453,0.0142749215156524,2.81314639932502e-08,0.000118585547497862,3.12089655434956e-10,1.50600443761726e-06,0,0,25.14680668753
0.0148095429572156,0.0840162277946166,0.0523855799297814,0.0174676721744122,4.03964306036609e-08,0.000145642421674675,4.7116698268835e-10,1.92104762511572e-06,0,0,25.1477304927201
0.0149023792050119,0.0845438151782268,0.0592671544986108,0.0207378893190871,5.52147090055983e-08,0.000173592333147543,6.69698110656992e-10,2.35596986926216e-06,0,0,25.1486542693231
0.015,0.0850985946182312,0.0665034080638856,0.02423357040973,7.36338270417339e-08,0.000203768208494853,9.2282307814728e-10,2.82991224778352e-06,0,0,25.1496256242195
0.0151486962006557,0.0859436383516597,0.0775257176303436,0.0296285785196726,1.07452373488813e-07,0.000251099451848148,1.3992248721223e-09,3.57780754430546e-06,0,0,25.1511051333056
0.0153308704828972,0.0869789418858316,0.0910296767717162,0.0363065459620295,1.58678342046728e-07,0.000311284743413877,2.13789607349655e-09,4.5316927900499e-06,0,0,25.1529176452722
0.0155691999486693,0.0883333804918237,0.108696267284657,0.0450969940375941,2.42729062862899e-07,0.000394047436506803,3.37412974272259e-09,5.8424643895609e-06,0,0,25.1552886974865
0.0158786248563576,0.0900918583325494,0.131632934772384,0.0565454419221119,3.82634549790289e-07,0.000510246196301346,5.46527776811316e-09,7.6738878718872e-06,0,0,25.1583667710916
0.016,0.0907816382682988,0.140630064369115,0.0610408134937554,4.47552297002034e-07,0.000559457950092948,6.44333863971163e-09,8.44244109378622e-06,0,0,25.1595740908416
0.0162952055399729,0.0924592968932622,0.162512568172985,0.0719767182843545,6.32103786609126e-07,0.000690867430819696,9.23727149671854e-09,1.04862880707345e-05,0,0,25.1625102993895
0.0165904110799459,0.0941369412771683,0.184394886223934,0.0829138925291648,8.59057258443044e-07,0.00084672886127376,1.26852059334939e-08,1.28732629532162e-05,0,0,25.1654462190234
0.0168117872151811,0.0953950023325033,0.200804378250043,0.0911155541618361,1.06235906700116e-06,0.000989980487202999,1.57728592350283e-08,1.50218242769704e-05,0,0,25.1676476905343
0.017,0.0964645880906331,0.214755496834344,0.0980880907115295,1.26290906596583e-06,0.001141118089949,1.88091211733673e-08,1.7242316984856e-05,0,0,25.1695192418607
0.017123174988686,0.0971645673264155,0.223885660779332,0.102650862976732,1.41101568904455e-06,0.0012636984179912,2.10408030389391e-08,1.89936411325953e-05,0,0,25.1707440064271
0.017246349977372,0.0978645411143478,0.233015753665406,0.107213176413816,1.57613331640948e-06,0.00141732683114997,2.35116783936749e-08,2.11261166379459e-05,0,0,25.1719687207077
0.01733039287093,0.0983421332789839,0.239245216682399,0.110325695332162,1.70080390088027e-06,0.00154950544205746,2.53617141403852e-08,2.28998721967591e-05,0,0,25.1728043203559
0.017414435764488,0.0988197225610212,0.245474642100277,0.113437764723075,1.83813185110602e-06,0.00171853887226605,2.73779399277795e-08,2.5081002854933e-05,0,0,25.1736398965957
0.017472190456714,0.0991479225342336,0.249755511316091,0.115576031605126,1.94168749769418e-06,0.00186751249765459,2.88796469605205e-08,2.69219418362151e-05,0,0,25.1742140951513
0.01752994514894,0.0994761210341341,0.254036361314793,0.117713863854375,2.05508826878354e-06,0.0020594678642405,3.05000362308055e-08,2.91908762858101e-05,0,0,25.1747882826527
0.0175876998411659,0.0998043180150898,0.258317191501171,0.119851067470476,2.18147979857744e-06,0.00231737235159353,3.22699284409536e-08,3.20991121786025e-05,0,0,25.1753624591002
0.0176257799435118,0.100020711261682,0.261139712108895,0.121259742511968,2.27396350468981e-06,0.00253995209949455,3.35381525083666e-08,3.45091157033882e-05,0,0,25.1757410317808
0.0176638600458578,0.100237103815015,0.263962223674103,0.122667888908658,2.37607071454594e-06,0.00282280711415537,3.49088270609695e-08,3.74799005104874e-05,0,0,25.1761195996562
0.0177019401482037,0.100453495662002,0.266784726026111,0.124075337176342,2.49042363184431e-06,0.00318310727439363,3.64068251075251e-08,4.11962560264897e-05,0,0,25.1764981627262
0.0177400202505496,0.100669886789557,0.269607218994216,0.125481882082209,2.6202872016543e-06,0.00363744003560765,3.80646193334754e-08,4.58725344348006e-05,0,0,25.176876720991
0.0177781003528955,0.10088627718459,0.272429702407699,0.126887295499281,2.76948522839e-06,0.00419856971985021,3.99229948001772e-08,5.17309567439099e-05,0,0,25.1772552744507
0.0178161804552414,0.101102666834013,0.275252176095816,0.128291344476041,2.94224079005308e-06,0.00487470220015691,4.20308693607488e-08,5.89764432217732e-05,0,0,25.1776338231053
0.0178674820651948,0.101394186313683,0.279054604091516,0.13018032340574,3.2205000166197e-06,0.0059732702833402,4.5370764649515e-08,7.12298131433622e-05,0,0,25.1781437972107
0.0179417254756974,0.101816069213326,0.284557424521638,0.132907994088656,3.73710614934285e-06,0.00794328148133826,5.15229525916561e-08,9.45003951132238e-05,0,0,25.1788818135159
0.018,0.102147207922616,0.288876625077606,0.13504340874039,4.25411350347955e-06,0.0098005734990044,5.77021968003265e-08,0.000117573209351946,0,0,25.1794610783819
